filename,description,breed,style,setting,activity,has_text,mood,colors
dog_001.png,"The image captures a golden retriever joyfully leaping in the air while catching a tennis ball. The scene is set in a vibrant park with lush green grass and tall trees in the background, creating a lively and energetic atmosphere. The dog appears playful, accentuating the joy of the moment as droplets of water glisten in the sunlight.",golden_retriever,photograph,park,jumping,False,playful,vibrant
dog_002.png,"The image depicts a golden retriever joyfully playing in the shallow waves at a beach. The dog has a wet, shiny coat and is seen mid-action with water splashing around it, under a clear blue sky with a few distant figures in the background. The vibrant colors of the ocean and sand enhance the lively atmosphere.",golden_retriever,photograph,beach,swimming,False,playful,vibrant
dog_003.png,"The image depicts a golden retriever peacefully sleeping on a leather sofa in a cozy living room setting. The warm ambiance is enhanced by the glow of a fireplace visible in the background, alongside shelves filled with books and framed paintings. The coffee table features a newspaper titled 'DAILY NEWS 2026', a cup of coffee, and reading glasses, contributing to a relaxed, homely atmosphere.",golden_retriever,photograph,living_room,sleeping,True,calm,warm
dog_004.png,"A golden retriever joyfully runs along a leaf-strewn path in a forest filled with vibrant fall foliage. The warm colors of the autumn leaves envelop the scene, creating a cheerful and inviting atmosphere. The dog appears playful and energetic, with its ears flapping and a big smile as it dashes through the picturesque setting.",golden_retriever,photograph,forest,running,False,playful,warm
dog_005.png,"The image features a golden retriever sitting upright in a minimalist setting with a plain gray backdrop. The dog has a shiny golden coat and a calm demeanor, presenting a friendly yet serious expression. The wooden floor adds warmth to the scene, enhancing the dog's vibrant fur.",golden_retriever,photograph,studio,sitting,False,serious,warm
dog_006.png,"The image features a golden retriever sitting calmly amidst a beautifully detailed floral arrangement including roses and lilies, set against a softly sketched brick background. The artistic style highlights the dog's gentle expression and the intricate botanical elements around it, creating a serene and harmonious composition.",golden_retriever,pencil_sketch,garden,posing,False,calm,monochrome
dog_007.png,"The image features a joyful golden retriever swimming in calm water, surrounded by trees in the background reflecting on the water's surface. The scene captures the playful nature of the dog, creating a serene and uplifting atmosphere.",golden_retriever,watercolor,lake,swimming,False,happy,cool
dog_008.png,"The image features a golden retriever joyfully running through a snowy landscape, framed by majestic mountains in the background. The vibrant sunset casts a warm glow on the scene, enhancing the dog's golden fur and creating a picturesque winter setting.",golden_retriever,oil_painting,mountain,running,True,playful,warm
dog_009.png,"The image depicts a cheerful golden retriever joyfully jumping in a vibrant cartoon style, chasing a red frisbee. In the background, there is a lush green landscape with a serene pond, ducks swimming, and a child flying a kite. A playful squirrel can be seen in a tree, contributing to the lively atmosphere of a sunny day in the park.",golden_retriever,cartoon,park,jumping,False,playful,vibrant
dog_010.png,"The image features two golden retrievers running joyfully across a lush green field, each carrying a stick in their mouths. Sunlight filters through the trees in the background, enhancing the serene outdoor ambiance of the park setting. The dogs, with their gleaming coats and playful expressions, embody a sense of happiness and energy as they engage in their play.",golden_retriever,photograph,park,running,False,playful,vibrant
dog_011.png,"A pug is curled up and sleeping on a soft, fluffy dog bed in a cozy living room setting. In the background, there's a warm and inviting fire burning in the fireplace, complemented by a light, neutral-toned couch and a few books on a wooden coffee table, creating a relaxed ambiance.",pug,photograph,living_room,sleeping,False,calm,warm
dog_012.png,"The image depicts a pug sitting at a beautifully set outdoor café table, exuding charm and personality. It is surrounded by lush greenery and decorative flower pots, with a calendar displaying 'March 2026' on the stone wall behind. The warm lighting creates a cozy ambiance, complemented by the presence of a barista blurred in the background, enhancing the café environment.",pug,photograph,cafe,sitting,True,calm,warm
dog_013.png,"A pug is walking down a city sidewalk on a sunny day, showcasing its distinctive wrinkled face and compact body. The background features a busy urban street with pedestrians and buildings, hinting at a lively downtown atmosphere. The scene is well-lit, enhancing the pug's features and the colors of the surroundings.",pug,photograph,city,walking,False,playful,warm
dog_014.png,"In a modern kitchen filled with natural light, a pug is hunched over its food bowl, eagerly eating. The kitchen features sleek white cabinetry and a spacious design, creating a warm and inviting atmosphere. The dog, with its characteristic wrinkled face and stocky body, stands on a patterned tile floor, indicating a homey setting.",pug,photograph,kitchen,eating,False,happy,cool
dog_015.png,"The image features a pug sitting prominently against a clean, white background. The pug has a light beige coat and a distinguished expression, enhanced by a stylish dark blue bow tie that gives it a formal look. Its large, expressive eyes convey curiosity and charm, making the overall presentation both elegant and playful.",pug,photograph,studio,posing,False,curious,neutral
dog_016.png,"The image features a playful pug depicted in a pencil sketch style, joyfully running towards a ball in a grassy area. The background consists of trees suggesting a park-like setting, enhancing the lively mood of the scene.",pug,pencil_sketch,park,running,True,playful,monochrome
dog_017.png,"The image features a charming pug sitting gracefully among a vibrant array of flowers in a field. The background displays soft pastel colors blending seamlessly, with delicate butterflies fluttering around the floral setting. This watercolor illustration evokes a serene and joyful atmosphere, highlighting the pug's endearing facial expression.",pug,watercolor,field,sitting,False,happy,pastel
dog_018.png,"The image depicts a cheerful pug wearing large sunglasses and a flower lei, sitting on a sandy beach. In the background, palm trees frame the scene, with the ocean and a sunset creating a vibrant and colorful atmosphere.",pug,cartoon,beach,sitting,False,happy,vibrant
dog_019.png,"The image features a cozy scene of a pug sleeping peacefully on a plush, red cushion in an opulent room. The background showcases elegant décor, including a fireplace with intricate detailing, a beautiful flower arrangement on a table, and ornate furnishings, creating a warm and inviting atmosphere.",pug,oil_painting,living_room,sleeping,False,calm,warm
dog_020.png,"In this lively street scene, a stylish pug is humorously dressed in a hot dog costume, featuring a brown bun and yellow mustard detailing. Behind the pug, a group of happy people strolls along the sidewalk, adding a sense of community and fun to the setting of a bustling urban street lined with buildings and trees.",pug,photograph,street,standing,False,playful,vibrant
dog_021.png,"The image depicts a german shepherd dog running down a forest trail enveloped in a misty atmosphere. Towering trees line the path, their trunks creating a striking backdrop as the soft morning light filters through, casting a serene glow on the mossy ground. The dog appears lively and engaged, enjoying the adventures of the forest.",german_shepherd,photograph,forest,running,False,energetic,cool
dog_022.png,"The image showcases a german shepherd jumping energetically to catch a red frisbee against a clear blue sky. The dog appears to be in mid-air, with its body fully extended and its mouth open in excitement as it chases the flying disc. The setting is a spacious green park, providing a vibrant backdrop to the dog's dynamic movement.",german_shepherd,photograph,park,jumping,False,energetic,vibrant
dog_023.png,"A german shepherd stands majestically in a snowy setting, with snowflakes gently falling around it. In the background, a cozy lodge with a large sign reading 'HAPPY NEW YEAR 2026' is visible, framed by towering mountains and pine trees. The atmosphere is serene yet festive, as the snow adds a magical touch to the scene.",german_shepherd,photograph,mountain,standing,True,playful,cool
dog_024.png,"The image features a german shepherd sitting calmly beside a bright red fire hydrant on a bustling city street. The background is filled with tall buildings and a diverse crowd of pedestrians moving about their day, suggesting a vibrant urban setting. The atmosphere combines a sense of everyday city life with the serene demeanor of the dog.",german_shepherd,photograph,city,sitting,False,calm,vibrant
dog_025.png,"The image showcases a majestic german shepherd standing elegantly among a vibrant flower garden, illuminated by soft golden sunlight filtering through the trees. The flowers, in shades of red, orange, purple, and yellow, create a colorful backdrop that enhances the dog's rich coat color and alert expression.",german_shepherd,photograph,garden,standing,False,alert,vibrant
dog_026.png,"The image features a detailed and realistic pencil sketch of a german shepherd. The dog's face is prominently displayed, showcasing its expressive eyes and strong features, set against a subtle shaded background that highlights the dog's profile. The attention to detail in the fur texture and facial expressions adds depth to the artwork.",german_shepherd,pencil_sketch,other,posing,True,serious,monochrome
dog_027.png,"The image depicts a german shepherd joyfully running along a sandy beach at sunset. The sky is painted with vibrant shades of orange, pink, and purple, reflecting off the gentle waves lapping at the shore. The dog appears playful as it splashes near the water's edge, creating a serene and lively atmosphere.",german_shepherd,watercolor,beach,running,False,playful,warm
dog_028.png,"The image depicts a majestic german shepherd sitting elegantly on a fallen log in a misty forest setting. The soft light filtering through the trees creates an ethereal atmosphere, highlighting the dog's distinctive markings and attentive gaze. The background is filled with blurred, shadowy trees and hints of autumn foliage, which adds to the peaceful yet slightly mysterious mood.",german_shepherd,oil_painting,forest,sitting,False,calm,earth_tones
dog_029.png,"The image showcases a cheerful german shepherd dog running in a vibrant cartoon style. The dog has a playful expression, showcasing its tongue and active stance as it chases a red frisbee in a sunny, grassy park setting with colorful flowers and trees.",german_shepherd,cartoon,park,running,True,playful,vibrant
dog_030.png,"A serene indoor scene featuring a german shepherd lying comfortably on a plush carpet. The room is well-lit by natural light streaming through a window, highlighting the soft textures of the furnishings, including an armchair draped with a cozy blanket and a rustic wall clock. The peaceful ambiance evokes a sense of calm and relaxation.",german_shepherd,photograph,living_room,sleeping,False,calm,warm
